category,display_label,n,evaluability_score_mean,evaluability_score_std,output_verifiability_mean,tests_quality_mean,thresholds_quality_mean,error_handling_mean
security-and-compliance,Security,10,1.7,0.6749,2.2,0.4,1.8,1.7
document-management,Doc Management,10,1.5,0.7071,2.6,0.6,1.1,1.1
social-media-management,Social Media,10,1.5,0.8498,2.2,0.2,1.7,1.1
education-and-training,Education,10,1.4,0.8433,2.2,0.5,1.4,1.3
software-development,Software Dev,10,1.4,0.6992,2.1,0.6,0.8,1.3
communication-tools,Comms Tools,10,1.3,0.483,2.0,0.1,0.7,1.0
content-creation,Content,10,1.2,0.7888,1.8,0.0,1.6,0.8
research-and-analysis,Research,10,1.2,0.6325,2.2,0.0,1.0,1.1
business-strategy,Business Strategy,10,1.1,0.5676,1.5,0.0,1.4,0.4
financial-analysis,Finance,10,1.1,0.5676,2.1,0.1,0.9,0.9
project-management,Project Mgmt,10,1.1,0.7379,2.1,0.0,1.0,0.5
ui-ux-design,UI/UX,10,1.1,0.5676,1.9,0.0,1.4,0.5
