category,display_label,n,n_memory,n_tools,n_external,mean_n_requirements
business-strategy,Business Strategy,10,2,3,1,0.6
communication-tools,Comms Tools,10,0,6,4,1.0
content-creation,Content,10,2,4,3,0.9
document-management,Doc Management,10,0,8,1,0.9
education-and-training,Education,10,3,4,3,1.0
financial-analysis,Finance,10,1,5,4,1.0
project-management,Project Mgmt,10,0,6,6,1.2
research-and-analysis,Research,10,2,9,5,1.6
security-and-compliance,Security,10,1,6,6,1.3
social-media-management,Social Media,10,4,5,3,1.2
software-development,Software Dev,10,0,6,0,0.6
ui-ux-design,UI/UX,10,1,4,1,0.6
