variable,variable_type,n,mad_h1_h2,mad_h1_llm,mad_h2_llm,exact_match_h1_h2,exact_match_h1_llm,exact_match_h2_llm,pct_agree_h1_h2,pct_agree_h1_llm,pct_agree_h2_llm,kappa_h1_h2,kappa_h1_llm,kappa_h2_llm
procedural,ordinal,24,0.6667,0.7917,0.375,0.4167,0.2917,0.625,,,,,,
analytical,ordinal,24,0.4167,0.5417,0.5417,0.5833,0.5,0.4583,,,,,,
orchestration,ordinal,24,0.625,0.625,0.5,0.4167,0.5,0.5833,,,,,,
compliance,ordinal,24,0.4583,0.8333,1.0417,0.5417,0.4167,0.2917,,,,,,
documentation,ordinal,24,0.7083,0.6667,0.7083,0.375,0.4167,0.3333,,,,,,
explicitness,ordinal,24,0.75,0.4167,0.6667,0.4167,0.5833,0.5,,,,,,
documentation_quality,ordinal,24,0.8333,0.5417,0.875,0.4583,0.4583,0.5,,,,,,
tacit_dependency,ordinal,24,0.875,0.7083,0.6667,0.2917,0.3333,0.375,,,,,,
context_sensitivity,ordinal,24,0.875,0.625,0.8333,0.2917,0.375,0.25,,,,,,
coordination_burden,ordinal,24,0.5417,0.375,0.5,0.5,0.625,0.5,,,,,,
output_verifiability,ordinal,24,0.6667,0.3333,0.5833,0.4583,0.6667,0.4583,,,,,,
tests_quality,ordinal,24,0.2917,0.125,0.3333,0.8333,0.875,0.875,,,,,,
thresholds_quality,ordinal,24,0.9167,0.6667,1.0833,0.375,0.3333,0.2917,,,,,,
error_handling,ordinal,24,1.0,0.3333,0.8333,0.3333,0.6667,0.4583,,,,,,
provenance_clarity,ordinal,24,0.5417,0.7917,0.6667,0.4583,0.2083,0.4167,,,,,,
maintenance_signals,ordinal,24,0.5,0.4167,0.75,0.5833,0.625,0.5417,,,,,,
safety_notes,ordinal,24,0.75,0.75,0.9167,0.2917,0.4167,0.2917,,,,,,
scope_limits,ordinal,24,0.875,0.875,0.9167,0.375,0.25,0.2917,,,,,,
codifiability_score,derived,24,0.6667,0.375,0.7083,0.4167,0.625,0.375,,,,,,
evaluability_score,derived,24,0.7083,0.3333,0.625,0.4583,0.6667,0.5417,,,,,,
requires_memory,binary,24,,,,,,,0.9167,0.9583,0.875,,,
requires_tools,binary,24,,,,,,,0.875,0.9167,0.875,,,
requires_external_services,binary,24,,,,,,,0.875,1.0,0.875,,,
scope,categorical,24,,,,,,,0.5833,0.75,0.5417,0.4015,0.6471,0.3161
evaluation_type,categorical,24,,,,,,,0.5833,0.6667,0.5,0.4189,0.5328,0.3191
