skill_id,category,total_disagreement,top1_variable,top1_spread,top2_variable,top2_spread,top3_variable,top3_spread
ET09,education-and-training,38,tests_quality,4,explicitness,3,documentation_quality,3
SC07,security-and-compliance,34,documentation_quality,3,tests_quality,3,thresholds_quality,3
FA03,financial-analysis,29,thresholds_quality,3,procedural,2,explicitness,2
CT02,communication-tools,23,orchestration,2,documentation,2,tacit_dependency,2
DM04,document-management,23,orchestration,2,documentation,2,thresholds_quality,2
UI08,ui-ux-design,22,compliance,3,procedural,2,documentation,2
RD06,research-and-analysis,20,documentation_quality,3,thresholds_quality,2,safety_notes,2
DM06,document-management,20,analytical,2,orchestration,2,thresholds_quality,2
CC09,content-creation,19,documentation_quality,2,maintenance_signals,2,scope_limits,2
SD08,software-development,19,compliance,3,documentation_quality,2,procedural,1
SD02,software-development,19,compliance,2,procedural,1,analytical,1
SM05,social-media-management,18,thresholds_quality,2,safety_notes,2,procedural,1
PM07,project-management,18,context_sensitivity,2,safety_notes,2,scope_limits,2
CT10,communication-tools,18,error_handling,2,procedural,1,orchestration,1
SC05,security-and-compliance,17,compliance,2,error_handling,2,safety_notes,2
PM10,project-management,16,orchestration,2,context_sensitivity,2,scope_limits,2
SM04,social-media-management,16,procedural,2,orchestration,2,compliance,2
FA08,financial-analysis,15,scope_limits,2,compliance,1,documentation,1
CC03,content-creation,15,maintenance_signals,2,safety_notes,2,analytical,1
RD01,research-and-analysis,14,context_sensitivity,2,maintenance_signals,2,scope_limits,2
UI01,ui-ux-design,14,compliance,2,explicitness,2,coordination_burden,2
BS02,business-strategy,14,tacit_dependency,2,maintenance_signals,2,analytical,1
BS09,business-strategy,13,procedural,1,orchestration,1,documentation,1
ET05,education-and-training,13,procedural,2,context_sensitivity,2,orchestration,1
